description,code,type
Ashiana Ispat Ltd. EOD Prices,BOM513401,BSE
Ashika Credit Capital Ltd. EOD Prices,BOM590122,BSE
Ashima Ltd. EOD Prices,BOM514286,BSE
Ashirwad Capital Ltd. EOD Prices,BOM512247,BSE
Ashirwad Steels & Industries Ltd. EOD Prices,BOM526847,BSE
Ashish Polyplast Ltd. EOD Prices,BOM530429,BSE
Ashnoor Textile Mills Ltd. EOD Prices,BOM507872,BSE
Ashok Alco-chem Ltd. EOD Prices,BOM524594,BSE
Ashok Leyland Ltd. EOD Prices,BOM500477,BSE
Ashoka Buildcon Ltd. EOD Prices,BOM533271,BSE
Ashoka Refineries Ltd. EOD Prices,BOM526983,BSE
Ashram Online.com Ltd. EOD Prices,BOM526187,BSE
Ashutosh Paper Mills Ltd. EOD Prices,BOM531568,BSE
Asia Capital Ltd EOD Prices,BOM538777,BSE
Asia Pack Ltd. EOD Prices,BOM530899,BSE
Asian Electronics Ltd. EOD Prices,BOM503940,BSE
Asian Flora Ltd. EOD Prices,BOM531392,BSE
Asian Granito India Ltd. EOD Prices,BOM532888,BSE
Asian Hotels (east) Ltd. EOD Prices,BOM533227,BSE
Asian Hotels (north) Limited EOD Prices,BOM500023,BSE
Asian Hotels (west) Ltd. EOD Prices,BOM533221,BSE
Asian Oilfield Services Ltd. EOD Prices,BOM530355,BSE
Asian Paints Ltd. EOD Prices,BOM500820,BSE
Asian Petroproducts & Exports Ltd. EOD Prices,BOM524434,BSE
Asian Star Co.ltd.-$ EOD Prices,BOM531847,BSE
Asian Tea & Exports Ltd.-$ EOD Prices,BOM519532,BSE
Asis Logistics Limited EOD Prices,BOM506159,BSE
Asit C.mehta Financial Services Ltd. EOD Prices,BOM530723,BSE
Asm Technologies Ltd. EOD Prices,BOM526433,BSE
Assam Company (india) Limited EOD Prices,BOM500024,BSE
Associated Alcohols & Breweries Ltd. EOD Prices,BOM507526,BSE
Associated Stone Industries (kotah) Ltd. EOD Prices,BOM502015,BSE
Astec Lifesciences Limited EOD Prices,BOM533138,BSE
Astra Microwave Products Ltd. EOD Prices,BOM532493,BSE
Astral Poly Technik Ltd. EOD Prices,BOM532830,BSE
Astrazeneca Pharma India Ltd. EOD Prices,BOM506820,BSE
Asya Infosoft Limited EOD Prices,BOM511144,BSE
Atharv Enterprises Ltd. EOD Prices,BOM530187,BSE
Athena Constructions Ltd EOD Prices,BOM539099,BSE
Athena Global Technologies Ltd EOD Prices,BOM517429,BSE
Atishay Ltd EOD Prices,BOM538713,BSE
Atlanta Devcon Limited EOD Prices,BOM526843,BSE
Atlanta Infrastructure And Finance Ltd. EOD Prices,BOM530479,BSE
Atlanta Ltd. EOD Prices,BOM532759,BSE
Atlas Cycles (haryana) Ltd. EOD Prices,BOM505029,BSE
Atlas Jewellery India Limited EOD Prices,BOM514394,BSE
Atn International Ltd. EOD Prices,BOM511427,BSE
Atul Auto Ltd.-$ EOD Prices,BOM531795,BSE
Atul Ltd. EOD Prices,BOM500027,BSE
Atv Projects India Ltd. EOD Prices,BOM500028,BSE
Aunde India Limited-$ EOD Prices,BOM532459,BSE
Aurangabad Paper Mills Ltd. EOD Prices,BOM502352,BSE
Aurionpro Solutions Ltd. EOD Prices,BOM532668,BSE
Auro Laboratories Ltd. EOD Prices,BOM530233,BSE
Aurobindo Pharma Ltd. EOD Prices,BOM524804,BSE
Auroma Coke Ltd. EOD Prices,BOM531336,BSE
Aurum Soft Systems Limited EOD Prices,BOM530885,BSE
Ausom Enterprise Limited EOD Prices,BOM509009,BSE
Austin Engineering Co.ltd. EOD Prices,BOM522005,BSE
Austral Coke & Projects Ltd. EOD Prices,BOM533016,BSE
Authum Investment & Infrastucture Ltd EOD Prices,BOM539177,BSE
Autoline Industries Ltd. EOD Prices,BOM532797,BSE
Autolite (india) Ltd. EOD Prices,BOM500029,BSE
Automobile Corporation Of Goa Ltd.-$ EOD Prices,BOM505036,BSE
Automotive Axles Ltd. EOD Prices,BOM505010,BSE
Automotive Stampings & Assemblies Ltd. EOD Prices,BOM520119,BSE
Autoriders Finance Ltd. EOD Prices,BOM500030,BSE
Autoriders International Ltd. EOD Prices,BOM512277,BSE
Available Finance Ltd. EOD Prices,BOM531310,BSE
Avance Technologies Ltd. EOD Prices,BOM512149,BSE
Avantel Ltd. EOD Prices,BOM532406,BSE
Avanti Feeds Ltd.-$ EOD Prices,BOM512573,BSE
Avi Photochem Ltd. EOD Prices,BOM523896,BSE
Avi Polymers Ltd EOD Prices,BOM539288,BSE
Aviva Industries Ltd. EOD Prices,BOM512109,BSE
Avon Corporation Ltd. EOD Prices,BOM532995,BSE
Avon Lifesciences Ltd-$ EOD Prices,BOM531541,BSE
Avonmore Capital & Management Services Limited EOD Prices,BOM511589,BSE
Avt Natural Products Ltd. EOD Prices,BOM519105,BSE
Avtil Enterprise Ltd EOD Prices,BOM504390,BSE
Axel Polymers Ltd. EOD Prices,BOM513642,BSE
Axis Bank Ltd. EOD Prices,BOM532215,BSE
Axiscades Engineering Technologies Ltd EOD Prices,BOM532395,BSE
Axon Ventures Ltd EOD Prices,BOM505506,BSE
Axtel Industries Ltd. EOD Prices,BOM523850,BSE
Aym Syntex Ltd EOD Prices,BOM508933,BSE
Ayoki Mercantile Ltd. EOD Prices,BOM512063,BSE
Azure Exim Services Ltd. EOD Prices,BOM531783,BSE
B & A Ltd. EOD Prices,BOM508136,BSE
B&a Packaging India Limited EOD Prices,BOM523186,BSE
B&b Realty Limited EOD Prices,BOM506971,BSE
B. P. Capital Ltd EOD Prices,BOM536965,BSE
B.a.g.films & Media Ltd. EOD Prices,BOM532507,BSE
B.c. Power Controls Ltd EOD Prices,BOM537766,BSE
B.l.kashyap And Sons Ltd. EOD Prices,BOM532719,BSE
B.n.rathi Securities Ltd. EOD Prices,BOM523019,BSE
B.nanji Enterprises Ltd. EOD Prices,BOM526594,BSE
B2b Software Technologies Ltd. EOD Prices,BOM531268,BSE
Baba Arts Ltd.-$ EOD Prices,BOM532380,BSE
Bacil Pharma Ltd. EOD Prices,BOM524516,BSE
Bafna Pharmaceuticals Ltd. EOD Prices,BOM532989,BSE
Bagadia Colourchem Ltd. EOD Prices,BOM530197,BSE
Baid Leasing And Finance Co.ltd. EOD Prices,BOM511724,BSE
Bajaj Auto Ltd. EOD Prices,BOM532977,BSE
Bajaj Corp Ltd. EOD Prices,BOM533229,BSE
Bajaj Electricals Ltd.-$ EOD Prices,BOM500031,BSE
Bajaj Finance Limited EOD Prices,BOM500034,BSE
Bajaj Finserv Ltd. EOD Prices,BOM532978,BSE
Bajaj Global Ltd. EOD Prices,BOM512261,BSE
Bajaj Hindusthan Sugar Limited EOD Prices,BOM500032,BSE
Bajaj Holdings & Investment Ltd. EOD Prices,BOM500490,BSE
Bajaj Steel Industries Ltd. EOD Prices,BOM507944,BSE
Bajrang Finance Ltd. EOD Prices,BOM511139,BSE
Bal Pharma Ltd. EOD Prices,BOM524824,BSE
Bala Techno Global Ltd. EOD Prices,BOM511395,BSE
Bala Techno Industries Ltd. EOD Prices,BOM514199,BSE
Balaji Amines Ltd.-$ EOD Prices,BOM530999,BSE
Balaji Telefilms Ltd. EOD Prices,BOM532382,BSE
Balasore Alloys Ltd. EOD Prices,BOM513142,BSE
Balkrishna Industries Ltd.-$ EOD Prices,BOM502355,BSE
Ballarpur Industries Ltd. EOD Prices,BOM500102,BSE
Balmer Lawrie & Co.ltd. EOD Prices,BOM523319,BSE
Balmer Lawrie Investments Ltd. EOD Prices,BOM532485,BSE
Balrampur Chini Mills Ltd. EOD Prices,BOM500038,BSE
Balurghat Technologies Ltd. EOD Prices,BOM520127,BSE
Bambino Agro Industries Ltd. EOD Prices,BOM519295,BSE
Bampsl Securities Ltd. EOD Prices,BOM531591,BSE
Banaras Beads Ltd. EOD Prices,BOM526849,BSE
Banas Finance Ltd. EOD Prices,BOM509053,BSE
Banco Products (india) Ltd.-$ EOD Prices,BOM500039,BSE
Bang Overseas Ltd. EOD Prices,BOM532946,BSE
Bangalore Fort Farms Ltd EOD Prices,BOM539120,BSE
Bank Of Baroda EOD Prices,BOM532134,BSE
Bank Of India EOD Prices,BOM532149,BSE
Bank Of Maharashtra EOD Prices,BOM532525,BSE
Bannari Amman Spinning Mills Ltd. EOD Prices,BOM532674,BSE
Bannari Amman Sugars Ltd. EOD Prices,BOM500041,BSE
Bansal Roofing Products Ltd EOD Prices,BOM538546,BSE
Banswara Syntex Ltd.-$ EOD Prices,BOM503722,BSE
Barak Valley Cements Ltd. EOD Prices,BOM532916,BSE
Baroda Extrusion Ltd. EOD Prices,BOM513502,BSE
Baron Infotech Ltd. EOD Prices,BOM532336,BSE
Bartronics India Ltd. EOD Prices,BOM532694,BSE
Basant Agro Tech (india) Ltd.-$ EOD Prices,BOM524687,BSE
Basf India Ltd. EOD Prices,BOM500042,BSE
Basil Infrastructure Projects Ltd. EOD Prices,BOM511210,BSE
Bata India Ltd. EOD Prices,BOM500043,BSE
Batliboi Ltd.-$ EOD Prices,BOM522004,BSE
Bayer Cropscience Ltd. EOD Prices,BOM506285,BSE
Bcc Fuba India Ltd. EOD Prices,BOM517246,BSE
Bcl Industries And Infrastructures Ltd-$ EOD Prices,BOM524332,BSE
Bdh Industries Ltd. EOD Prices,BOM524828,BSE
